,product_name,item_number,listed_price,price_per_serving,brand,rating,number_reviews,recommended_yes,recommended_no,type
0,Fit 100% Premium Whey Protein - Chocolate (2.2 Lbs. / 33 Servings),WBE0023/2197168,39.99,1.21,Women's Best,4.4,7.0,5.0,1.0,Whey
1,ISO100 Hydrolyzed 100% Whey Protein Isolate - Fruity Pebbles (1.6 Lbs. / 24 Servings),D4-1184/2201317,31.19,1.29,Dymatize Nutrition,4.9,27.0,22.0,,Whey
2,Gold Standard 100% Whey Protein - Double Rich Chocolate (2 Lbs. / 29 Servings),OP-1009/1629500,29.99,1.03,Optimum Nutrition,4.4,63.0,33.0,4.0,Whey
3,Gold Standard 100% Whey Protein - Extreme Milk Chocolate (5 Lbs. / 71 Servings),OP-2057/1988021,58.64,0.82,Optimum Nutrition,4.3,23.0,16.0,2.0,Whey
4,ISO100 Hydrolyzed 100% Whey Protein Isolate - Fruity Pebbles (5 Lbs. / 76 Servings),D4-1186/2201366,76.99,1.01,Dymatize Nutrition,4.9,12.0,10.0,,Whey
5,Fit 100% Premium Whey Protein - Vanilla (2.2 Lbs. / 33 Servings),WBE0024/2197192,39.99,1.21,Women's Best,4.9,10.0,10.0,,Whey
6,Gold Standard 100% Whey Protein - Vanilla Ice Cream (5 Lbs. / 73 Servings),OP-1012/1629534,58.64,0.83,Optimum Nutrition,4.5,84.0,45.0,4.0,Whey
7,ISO100 Hydrolyzed 100% Whey Protein Isolate - Fruity Pebbles (3 Lbs. / 46 Servings),D4-1185/2201358,49.99,1.08,Dymatize Nutrition,4.7,12.0,10.0,1.0,Whey
8,Whey Tech Pro 24 Whey Protein Isolate & Concentrate Powder - Vanilla Ice Cream (5 Lbs. / 75 Servings),VS-2541/1655158,49.99,0.66,BodyTech,3.6,59.0,30.0,14.0,Whey
9,Whey Protein Isolate - Fruity Cereal (1.5 Lbs. / 23 Servings),VS-1895/2161842,27.99,1.21,BodyTech,4.0,25.0,12.0,6.0,Whey
10,Low Carb 100% Whey Protein Isolate - Dutch Chocolate (21 Servings),NP-1099/1282268,39.99,1.9,Isopure,4.6,62.0,38.0,5.0,Whey
11,Gold Standard 100% Whey Protein - Vanilla Ice Cream (2 Lbs. / 29 Servings),OP-1008/1629476,29.99,1.03,Optimum Nutrition,4.5,56.0,32.0,4.0,Whey
12,ISO100 Hydrolyzed 100% Whey Protein Isolate - Gourmet Vanilla (1.6 Lbs. / 24 Servings),D4-1055/1795178,31.19,1.29,Dymatize Nutrition,3.6,18.0,8.0,7.0,Whey
13,ISO100 Hydrolyzed 100% Whey Protein Isolate - Gourmet Chocolate (3 Lbs. / 43 Servings),D4-1062/1795244,49.99,1.16,Dymatize Nutrition,4.5,23.0,17.0,3.0,Whey
14,Whey Protein Powder - Rich Chocolate (5 Lbs. / 91 Servings),VS-2269/1565605,39.99,0.43,BodyTech,4.0,72.0,33.0,9.0,Whey
15,ISO100 Hydrolyzed 100% Whey Protein Isolate - Cookies & Cream (1.6 Lbs. / 24 Servings),D4-1058/1795202,31.19,1.29,Dymatize Nutrition,4.7,14.0,13.0,,Whey
16,ISO100 Hydrolyzed 100% Whey Protein Isolate - Chocolate Peanut Butter (3 Lbs. / 43 Servings),D4-1164/2149235,49.99,1.16,Dymatize Nutrition,5.0,10.0,6.0,,Whey
17,ISO100 Hydrolyzed 100% Whey Protein Isolate - Birthday Cake (1.6 Lbs. / 24 Servings),D4-1131/2001758,31.99,1.33,Dymatize Nutrition,3.9,23.0,12.0,6.0,Whey
18,Zero Carb 100% Whey Protein Isolate - Cookies & Cream (21 servings),NP-1065/1652411,39.99,1.9,Isopure,4.5,36.0,23.0,2.0,Whey
19,ISO100 Hydrolyzed 100% Whey Protein Isolate - Gourmet Vanilla (5 Lbs. / 76 Servings),D4-3005/1835651,76.99,1.01,Dymatize Nutrition,4.7,13.0,7.0,1.0,Whey
20,Natural Whey Protein NSF Certified - Chocolate (37 Servings),VS-6007/1774405,23.99,0.64,True Athlete,3.5,40.0,23.0,14.0,Whey
21,Gold Standard 100% Whey Protein - Chocolate Peanut Butter (2 Lbs. / 27 Servings),OP-3030/2157154,29.99,1.11,Optimum Nutrition,3.4,5.0,2.0,,Whey
22,Gold Standard 100% Whey Protein - Chocolate Hazelnut (2 Lbs. / 27 Servings),OP-3031/2161024,29.99,1.11,Optimum Nutrition,2.6,5.0,4.0,1.0,Whey
